Cultural Activities,l'oeuvre (la),the work (of art)
Cultural Activities,l'ouvreure,the usher
Cultural Activities,la affiche,the poster
Various,la sourire,the smile
Various,l'ombre,the shadow
Various,l'âme,the soul
Various,le bouchon,the cork (wine bottle)
Various,bande original,movie soundtrack
Vacation,aôutien,person who goes on holiday in August
Vacation,le pélerin,the pilgrim
Vacation,juilliteste,person who goes on holiday in July
Vacation,faire du escalade,to climb
Vacation,routard,backpacker
Various,l'instituteur,teacher
Various,côuteux,expensive
Cultural Activities,le dramaturge,playwright
Cultural Activities,le metteur en scène,theatre director
Cultural Activities,les comédiens,actors (theatre)
Cultural Activities,les costumes,the costumes
Cultural Activities,le costumier,the costume designer
Cultural Activities,le décor,set
Cultural Activities,le décorateur,set decorator
Cultural Activities,la maquillage,make up
Cultural Activities,le maquilleur,the make-up artist
Sentiments,épuisé,exhausted
Sentiments,honteux,ashamed
Sentiments,effrayé,frightened
Various,le chauffard,bad driver
Various,la pierre,stone
Various,le cailloux,small stone
Various,le crôute,the crust
Various,la violence gratuite,unnecessary violence
Sentiments,amoureux,loving
Sentiments,dégoûté,disgusted
Sentiments,ennuyé,"preoccupied, worried"
Sentiments,étonné,surprised
Sentiments,exaspéré,exasperated
Sentiments,fâché,angry
Sentiments,frustre,frustrated
Sentiments,gêné,"embarrassed, uncomfortable"
Sentiments,heureux,happy
Sentiments,hystérique,hysterical
Sentiments,plein d'espoir,full of hope
Sentiments,triste,sad
Sentiments,troublé,"hazy, vague"
Sentiments,colère,anger
Sentiments,haine,hate
Sentiments,peine,sorrow
Adjectives,difficile,difficult
Adjectives,efficace,efficient
Adjectives,aimable,adorable
Adjectives,amical,likeable
Adjectives,froid,cold
Adjectives,léger,light hearted
Adjectives,franc,frank
Adjectives,amoureux,loving
Adjectives,sliencieux,slient
Adjectives,doux,gentle
Adjectives,mou,soft
Adjectives,passionné,passionate
Adjectives,modéré,moderate
Adjectives,poli,polite
Adjectives,vrai,turthful
Adjectives,gai,gay
Adjectives,prudent,prudent
Adjectives,méchant,naughty
Adjectives,intelligent,intelligent
Adjectives,fréquent,frequent
Adjectives,patient,patient
Adjectives,bruyant,noisy
Adjectives,puissant,powerful
Adjectives,lent,slow
Adjectives,bref,brief
Adjectives,gentil,nice
Adjectives,lisible,legible
Adjectives,méthode,methodical
Adjectives,excès,excessive
Adjectives,sérieux,serious
Adjectives,suffisant,sufficient
Animals,le chein,the dog
Animals,le chat,the cat
Animals,le cheval,the horse
Animals,la vache,the cow
Animals,la souris,the mouse
Animals,le rat,the rat
Animals,le lion,the lion
Animals,l'eléphant,the elephant
Animals,l'oiseau,the bird
Animals,la girafe,the giraffe
Animals,le mouton,the sheep
Animals,le cochon,the pig
Animals,la chévre,the goat
Animals,le renard,the fox
Animals,le loup,the wolf
Animals,le poulet,the chicken
Animals,le cerf,the deer
Animals,le pigeon,the piegon
Animals,la grenouille,the frog
Animals,le poisson,the fish
Verb,deviner,to guess
Verb,entendre,to hear
Verb,dépasser ,to overtake
Verb,allumer,to turn on
Verb,se débrouiller,to just about manage to do something
Verb,reposer,to rest
Verb,pousser,to push
Verb,se débarrasser,to clear / to get rid of
Verb,exercer,to practice
Verb,rédiger,to write (letter or article)
Verb,suivre,to follow
Verb,interrompre,to interrupt
Verb,grimper,to climb
Verb,démontrer,to demonstrate
Verb,trimbaler,to cart around
Verb,accueillir,to welcome
Verb,se soigner,to look after yourself
Verb,se divertir,to amuse oneself
Verb,s'amuser,to amuse oneself
Verb,avoir besoin de,to have need of something
Verb,réviser,to revise
Verb,se faire des amis,to make friends
Verb,prendre un position,to take a position
Verb,déranger,to make untidy
Verb,empêcher,to hinder / prevent
Verb,revendiquer,to defend
Verb,réunir,to reunite
Verb,être inquiet,to be worried
Verb,ressentir,to feel
Verb,oser,to dare
Verb,avoir tort,to be wrong
Verb,teindre,to turn off
Verb,valoir,to be worth
